Index	Bogennummer	REDE_Namen	Sprache	tu	hinein	etwas	kohle	in1	den	ofen	dass	wird	die	milch	bald	zu	kochen	anfangen
ab	12037	Hildburghausen	1	Thu - - - - - - - - - - -	- nei - -	- - - - - - - - - -	Kohl'n - - - - - - -	in - -	-	Of'n - - - - - -	daß - -	- - - - - -	die	Millich -	bal - - - - - - - -	z' -	koch'n - -	afängt - -
ab	12070	Neuenbau	1	Thu - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kulln - - - - - - -	in - -	-	Ufen - - - - - -	daß - -	- - - - - -	die	Milch -	ball - - - - - - - -	zu -	kochen - -	afängt - -
ab	1208	Wissulke (Wiesiółka)	1	Doug - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kaualä - - - - - - -	in - -	nä	Au∫völ - - - - - -	datt - -	- - - - - -	d'	Melk -	ball - - - - - - - -	t' -	kaukä - -	antfengt - -
ab	12085	Grumbach	1	Thu - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kuhl'n - - - - - - -	in - -	-	Ufen - - - - - -	däß - -	- - - - - -	dä	Milich -	ball - - - - - - - -	zä -	kochen - -	ahnfängt - -
ab	12104	Frössen	1	Thu - - - - - - - - - - -	- nei - -	- - - - - - - - - -	Kuhln - - - - - - -	'n - -	-	Ufen - - - - - -	doß - -	- - - - - -	de	Milich -	ball - - - - - - - -	ze -	kochen - -	ofängt - -
ab	12125	Schwand	1	Thu - - - - - - - - - - -	- nei - -	- - - - - - - - - -	Kull'n - - - - - - -	n - -	-	Uefen - - - - - -	deß - -	- - - - - -	de	Milich -	boll - - - - - - - -	ze -	kochen - -	afängt - -
ab	12148	Kottengrün	1	Thu - - - - - - - - - - -	- nei - -	- - - - - - - - - -	Kulln - - - - - - -	n - -	-	Ufen - - - - - -	deß - -	- - - - - -	de	Milich -	bal - - - - - - - -	zu -	kochen - -	afängt - -
ab	1215	Paruszka	1	- - Mauk - - - - - - - - -	- - - -	- - - - - - - - - -	Kaulä - - - - - - -	in - -	nä	Auwä - - - - - -	dat - -	- - - - - -	dei	Melk -	ball - - - - - - - -	toh -	kauken - -	attfinkt - -
ab	12153	Meiningen	1	Thu - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kohle - - - - - - -	in - -	-	Ohfe - - - - - -	dass - -	- - - - - -	di	Melch -	ball - - - - - - - -	ze -	koche - -	ohfängt - -
ab	12167	Altendambach	1	Thu - - - - - - - - - - -	- - - -	- - - - - - - - - -	Koll - - - - - - -	en - -	-	Ofä - - - - - -	doß - -	- - - - - -	die	Mellich -	ball - - - - - - - -	zä -	kocha - -	ohfängt - -
ab	12184	Altenfeld	1	Thu - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kulle - - - - - - -	in - -	-	Ufe - - - - - -	daß - -	- - - - - -	de	Millich -	ball - - - - - - - -	- -	kocht - -	- - -
ab	12341	Rohrbach	1	Thuk - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kuln - - - - - - -	in - -	dan	Uofen - - - - - -	daß - -	- - - - - -	de	Melich -	bale - - - - - - - -	ze -	kochn - -	anfangt - -
ab	12371	St Jacob bei Leutenberg	1	Thu - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kuhlen - - - - - - -	in - -	'n	Ufen - - - - - -	des - -	- - - - - -	de	Milich -	ball - - - - - - - -	ze -	kuchen - -	onfengt - -
ab	12390	Neundorf (bei Schleiz)	1	Da(o)u - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kuhlen - - - - - - -	in - -	-	Ufen - - - - - -	da(ä)ß - -	- - - - - -	d'	Milich -	ball - - - - - - - -	z' -	kochen - -	ahnfengt - -
ab	12410	Ebersgrün	1	Thu - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kuhln - - - - - - -	in - -	-	Uefen - - - - - -	des - -	- - - - - -	de	Millich -	ball - - - - - - - -	ze -	kuchen - -	afängt - -
ab	12428	Roitzschau/Rotschau	1	Tu - - - - - - - - - - -	- nei - -	- - - - - - - - - -	Kuohln - - - - - - -	'n - -	-	Uofn - - - - - -	deß - -	- - - - - -	de	Millich -	ball - - - - - - - -	ze -	kochn - -	afängt - -
ab	12496	Horsdorf	1	Thu - - - - - - - - - - -	- nei - -	- - - - - - - - - -	Kouhln - - - - - - -	n - -	-	Ouf'n - - - - - -	des - -	- - - - - -	die	Milch -	bald - - - - - - - -	ze -	koch'n - -	onfengt - -
ab	12529	Ködnitz	1	Thu - - - - - - - - - - -	- nei - -	- - - - - - - - - -	Kuhln - - - - - - -	'n - -	-	Ufn - - - - - -	aſ - -	- - - - - -	die	Milich -	bal - - - - - - - -	zä -	- ſiedn -	onfängt - -
ab	12556	Kornbach	1	Thu - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kulln - - - - - - -	in - -	-	Uf'n - - - - - -	daß - -	- - - - - -	die	Milch -	bal - - - - - - - -	za -	kochn - -	ofängt - -
ab	12572	Habnith	1	Thou - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kuhln - - - - - - -	in - -	-	Uafm - - - - - -	daß - -	- - - - - -	die	Milch -	bal - - - - - - - -	z -	koch'n - -	afängt - -
ab	12594	Uchenhofen	1	Thua - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kaoln - - - - - - -	ein - -	-	Aufn - - - - - -	es - -	- - - - - -	die	Milch -	ball - - - - - - - -	zu -	kochn - -	afengt - -
ab	12616	Reutersbrunn	1	Thu - - - - - - - - - - -	- nei - -	- - - - - - - - - -	Kuohle - - - - - - -	- - -	e	Uofe - - - - - -	deß - -	- - - - - -	die	Milch -	bal - - - - - - - -	zu -	koche - -	anfengt - -
ab	12656	Weismain	1	Thu - - - - - - - - - - -	- nei - -	- - - - - - - - - -	Kuhl'n - - - - - - -	n - -	-	Uf'm - - - - - -	daß - -	- - - - - -	die	Millich -	- - - - - - - - -	- -	- ſitt -	- - -
ab	1278	Insko	1	Do - - - - - - - - - - -	- - - -	- - - - - - - - - -	Koahla - - - - - - -	in - -	na	Oawa - - - - - -	dat - -	- - - - - -	de	Melk -	ball - - - - - - - -	to -	koakan - -	fingt - -
ab	1287	Konotop	1	Do - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kola - - - - - - -	in - -	na	Auwa - - - - - -	dat - -	- - - - - -	de	Melk -	bal - - - - - - - -	to -	kaukan - -	afengt - -
ab	12876	Lohma	1	Thu - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kulln - - - - - - -	in - -	'n	Ufen - - - - - -	doß - -	- - - - - -	de	Milch -	bal' - - - - - - - -	ze -	kuchen - -	onfangt - -
ab	12898	Heiersdorf	1	Thu - - - - - - - - - - -	- - - -	- - - - - - - - - -	Ko(u)hlen - - - - - - -	in - -	-	Ofen - - - - - -	da(o)ß - -	- - - - - -	de	Milch -	bal - - - - - - - -	ze -	ko(u)chen - -	ofängt - -
ab	12921	Sachsenburg	1	- Leh' - - - - - - - - - -	- - - -	- - - - - - - - - -	Kohl'n - - - - - - -	in - -	'e	Ofen - - - - - -	doß - -	- - - - - -	d'	Milch -	ball' - - - - - - - -	zo -	koch'n - -	onnfängt - -
ab	12942	Rothenfurth	1	Duh - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kol'n - - - - - - -	in - -	'n	Ofen - - - - - -	da(o)ß - -	- - - - - -	d'	Milch -	ball - - - - - - - -	zu -	kochen - -	a(o)nfängd - -
ab	1296	Zabin	1	Do - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kauhla - - - - - - -	i - -	dä	Auwa - - - - - -	dat - -	- - - - - -	da	Melk -	ball - - - - - - - -	't -	kokan - -	anfengt - -
ab	12969	Borlas	1	Thu - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kohle - - - - - - -	im - -	-	Ufen - - - - - -	dos - -	- - - - - -	de	Milch -	baale - - - - - - - -	zu -	kuchn - -	anfängt - -
ab	13005	Dohna	1	Thu - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kohln - - - - - - -	in - -	-	Ufm - - - - - -	doaß - -	- - - - - -	de	Milch -	bald - - - - - - - -	zu -	kuchen - -	oanfängt - -
ab	13019	Porschdorf	1	Thu - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kohlen - - - - - - -	in - -	-	Ufen - - - - - -	daß - -	- - - - - -	de	Milch -	bale - - - - - - - -	ze -	kochen - -	anfängt - -
ab	13047	Morgenröthe	1	Thu - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kohln - - - - - - -	eim - -	-	Ufen - - - - - -	deß - -	- - - - - -	de	Milch -	bald - - - - - - - -	ze -	kochen - -	a'fängt - -
ab	13054	Rittersgrün	1	Thu - - - - - - - - - - -	- nei - -	- - - - - - - - - -	Kuhln - - - - - - -	n - -	-	Ufen - - - - - -	döß - -	- - - - - -	die	Millich -	ball - - - - - - - -	ze -	kochen - -	afängt - -
ab	1315	Kamien	1	Do - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kauhle - - - - - - -	in - -	de	Auwe - - - - - -	das - -	det - - - - -	-	Melg -	bull - - - - - - - -	- -	kauke - -	- - -
bc	13169	Saupersdorf	1	Thu - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kuhln - - - - - - -	in - -	-	Ufen - - - - - -	doß - -	- - - - - -	de	Milich -	- - - - - - - - -	ze -	- ſieden -	afängt - -
bc	13187	Kühnheide	1	Thu - - - - - - - - - - -	- nei - -	- - - - - - - - - -	Kuhln - - - - - - -	in - -	-	Ufen - - - - - -	doß - -	- - - - - -	de	Milich -	bol - - - - - - - -	za -	kkochen - -	áfängt - -
bc	13210	Himmelmühle	1	Thu - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kuhl'n - - - - - - -	in - -	-	Uf'm - - - - - -	daß - -	- - - - - -	dá	Milch -	boahl - - - - - - - -	za -	koch'n - -	afängt - -
bc	13226	Rübenau	1	Thu - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kuhln - - - - - - -	in - -	-	Ufen - - - - - -	daß - -	- - - - - -	die	Milich -	- - - - - - - - -	ze -	kochen - -	afängt - -
bc	13269	Thurm	1	Thu - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kuhlen - - - - - - -	in - -	den	Ufen - - - - - -	daß - -	- - - - - -	die	Milch -	ball - - - - - - - -	zu -	kochen - -	afängt - -
bc	13286	Ursprung	1	Thu - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kuhln - - - - - - -	in - -	-	Ufen - - - - - -	doß - -	- - - - - -	die	Milch -	ball - - - - - - - -	ze -	kochen - -	ofängt - -
bc	133	Sosnowo	1	- Legg - - - - - - - - - -	- - - -	- - - - - - - - - -	Koahle? - - - - - - -	In - -	na	Oawa - - - - - -	dat - -	- - - - - -	dei	Melk -	ball - - - - - - - -	tau -	koaken - -	afängt - -
bc	13317	Dittmannsdorf	1	Thu - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kuhln - - - - - - -	in - -	'n	Ufen - - - - - -	doß - -	- - - - - -	d	Melch -	- - - - - - - - -	ze -	kochn - -	afängt - -
bc	13340	Grosshartmannsdorf	1	Duh - - - - - - - - - - -	- - - -	- - - - - - - - - -	Kohln - - - - - - -	in - -	'n	Ofn - - - - - -	doß - -	- - - - - -	d'	Milch -	bal - - - - - - - -	z' -	kóchn - -	onfängd - -
bc	13355	Reichenau	1	Thu - - - - - - - - - - -	- - - -	- ock - - - - - - - -	Kohlen - - - - - - -	in - -	den	Ufen - - - - - -	daß - -	- - - - - -	de	Milch -	bald - - - - - - - -	ze -	kuchen - -	anfängt - -
