Index	Bogennummer	REDE_Namen	Sprache	tu	leg	mach	schmeiß	schütt	stopp	steck	gooi	wirf	krieg	holz	gib	Kohle	Scheid	Holz	Grüß	Feuer	Glut	Brand	Torf	in	op	bei	den	Ofen	Kachel	Herd	Stoof	Küche	Feuer2	Kachelofen	dass	dann	damit	tut	wird	soll	kann	beginnt	geht	die	Milch	Rahm	bald	gleich	geschwind	gauw	schnell	rasch	enta	hortig	vlug	zu	mit	kochen	sieden	wellen	anfangen	anheben	ankommen
ab	1178	Sokoliniec	1	d u g	-	-	-	-	-	-	-	-	-	-	-	k o - l a -	-	-	-	-	-	-	-	i n	-	-	n a	- o - w a - -	-	-	-	-	-	-	d a t	-	-	-	-	-	-	-	-	d e	m e - l - k -	-	b ah l - - -	-	-	-	-	-	-	-	-	t o	-	k oa - k e n -	-	-	a - - f i ng - t -	-	-
ab	11805	Seidmannsdorf	1	th u -	-	-	-	-	-	-	-	-	-	-	-	k uh - l - n	-	-	-	-	-	-	-	n	-	-	-	- ua - f - n -	-	-	-	-	-	-	e s	-	-	-	-	-	-	-	-	d ie	m i - ll i ch -	-	b a l - - -	-	-	-	-	-	-	-	-	z ä	-	k o - ch e n -	-	-	a - - f e ng - t -	-	-
ab	11825	Wallenfels	1	t u -	-	-	-	-	-	-	-	-	-	-	-	k uoh - l - n	-	-	-	-	-	-	-	n	-	-	-	- uo - f e n -	-	-	-	-	-	-	d e s	-	-	-	-	-	-	-	-	d ie	m i - l i - -	-	b a l - - -	-	-	-	-	-	-	-	-	s a	-	k u - ch - n -	-	-	a n - f i ng - t -	-	-
ab	11844	Neudorf	1	th u -	-	-	-	-	-	-	-	-	-	-	-	k u - ll - n	-	-	-	-	-	-	-	i n	-	-	-	- u - f e n -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d ie	m i - l i ch -	-	b a ll - - -	-	-	-	-	-	-	-	-	z a	-	k o - ch - n -	-	-	o - - f ä ng - t -	-	-
ab	11864	Draisendorf	1	th u -	-	-	-	-	-	-	-	-	-	-	-	k u - ll - n	-	-	-	-	-	-	-	n	-	-	-	- o - f - n -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d ie	m i - l - ch -	-	b a ll - - -	-	-	-	-	-	-	-	-	z ä	-	k i - ch - n -	-	-	o n - f ä ng - t -	-	-
ab	11881	Sohl	1	d ou -	-	-	-	-	-	-	-	-	-	-	-	k u - ll - n	-	-	-	-	-	-	-	i n	-	-	n	- uo - f - n -	-	-	-	-	-	-	d a r z	-	-	-	-	-	-	-	-	d i	m i - l - ch -	-	b a l - - -	-	-	-	-	-	-	-	-	z u	-	k o - ch - n -	-	-	- n a f ä ng - t -	-	-
ab	11896	Sülzdorf	1	th u -	-	-	-	-	-	-	-	-	-	-	-	k oh - l - n	-	-	-	-	-	-	-	n	-	-	-	- o - f e - -	-	-	-	-	-	-	d o s	-	-	-	-	-	-	-	-	d ie	m e - l i ch -	-	b a ll - - -	-	-	-	-	-	-	-	-	z e	-	k o - ch - n -	-	-	o - - f ä ng - t -	-	-
ab	1192	Debsko	1	d o -	-	-	-	-	-	-	-	-	-	-	-	k o - l e -	-	-	-	-	-	-	-	i	-	-	d e	- au - w e - -	-	-	-	-	-	-	d a t	-	-	-	-	-	-	-	-	d e	m e - l - k -	-	b a ll - - -	-	-	-	-	-	-	-	-	t	-	k o - k e n -	-	-	a n - f e ng - t -	-	-
ab	11927	Bachfeld	1	th u -	-	-	-	-	-	-	-	-	-	-	-	k uh - l - n	-	-	-	-	-	-	-	i n	-	-	d a n	- u - f e n -	-	-	-	-	-	-	d ö ß	-	-	-	-	-	-	-	-	d ie	m i - l i ch -	-	b a l - - -	-	-	-	-	-	-	-	-	z u	-	k o - ch e n -	-	-	a - - f ä ng - t -	-	-
ab	1197	Plociczno	1	d u ch	-	-	-	-	-	-	-	-	-	-	-	k oa - l a -	-	-	-	-	-	-	-	i n	-	-	n a	- oa - v a - -	-	-	-	-	-	-	d a t	-	-	-	-	-	-	-	-	d	m e - l - k -	-	b a ll - - -	-	-	-	-	-	-	-	-	t o	-	k oa - k a - -	-	-	a - - f ai ng - t -	-	-
ab	1203	Nakielno	1	d u cht	-	-	-	-	-	-	-	-	-	-	-	k aua - l a -	-	-	-	-	-	-	-	i n	-	-	d e	- au - w a - -	-	-	-	-	-	-	d a t	-	-	-	-	-	-	-	-	-	m e - l - k -	-	- - - - - -	-	-	-	-	-	-	-	-	t o	-	k o - k a - -	-	-	a - - f ä ng - t -	-	-
ab	12037	Hildburghausen	1	th u -	-	-	-	-	-	-	-	-	-	-	-	k oh - l - n	-	-	-	-	-	-	-	i n	-	-	-	- o - f - n -	-	-	-	-	-	-	d a ß	-	-	-	-	-	-	-	-	d ie	m i - ll i ch -	-	b a l - - -	-	-	-	-	-	-	-	-	z	-	k o - ch - n -	-	-	a - - f ä ng - t -	-	-
