Ort::REDE_GIDs	Ort::Longitude	Ort::Latitude	Bogennummer	Ort::Name	Ort::Sprache	Transliteration WS34
97006	7,94492	49,62669	14693	DANNENFELS	1	- Deß - Wort - eß’ m - - vum Herze kumm! -
98182	8,20454	49,63649	14724	MONSHEIM	1	- Das - Wort - kam ehm - - vun Herzen! - -
534212	6,6329076	49,73705783	14752	SANKT MATTHIAS	1	- Dat - Wohrd - kahm em - - fomm Herzen! - -
97643	6,89034	49,75266	14955	BESCHEID	1	- Dat - Wourt - ös him - - vum Härze kumm. -
96587	7,16681	49,75594	14971	ALLENBACH	1	- Dat - Woort - kam em - - van Herze! - -
152200	18,31669	53,6553	1499	STARA RZEKA	1	- Dat - Woat - kamm em - - va Herza! - -
101007	7,39191	49,77036	14999	BERSCHWEILER BEI KIRN	1	- Datt - Wourt - kam ihm - - voum Herze - -
98789	7,64796	49,7846	15018	BAD SOBERNHEIM	1	- Das - Wort - kam em - - vum Herze - -
98807	7,92068	49,79459	15042	NEU-BAMBERG	1	- Das - Wort - kam ihm - - vum Härz. - -
100524	8,19083	49,80215	15066	BECHTOLSHEIM	1	- Dos - Wort - is ehm - - vum Herze kumme -
96333	6,35877	49,85133	15088	BOLLENDORF	1	- Dat - Wo͜at - kōm ĕm - - vunn Häarzen - -
99873	6,62928	49,90606	15096	PREIST	1	- Dat - Woert - kom em - - vom Heärz - -
100611	6,88064	49,90937	15118	POHLBACH	1	- Dat - Wurt - kaom em - - vom Herzen. - -
98569	7,12694	49,9156	15137	KAUTENBACH	1	- Dat - Wort - kommt em - - vom Herz! - -
100656	7,40287	49,94174	15334	KIRCHBERG (HUNSRÜCK)	1	- Datt - Woord - kam em - - vunn Herze. - -
96652	7,64098	49,98645	15349	ELLERN (HUNSRÜCK)	1	- Daß - Wohrd - iß’ m - - vunn[?] Herzn komm! -
541593	21,39751921	55,00008085	1536	HEIDLAUKEN (BUGORKI)	1	- Dat - Wohrt - köm emm - - vom Hart! - -
99926	7,89616	49,96901	15365	BINGEN AM RHEIN	1	- D’s - Wort - iß ĕm - - vum Herze komm(e) -
94365	8,1754	49,98368	15394	FINTHEN	1	- Das - Wort - kam ihm - - von Herzen! - -
534942	21,69458052	55,04244719	1540	HEINRICHSWALDE	1	- Dat - Woort - keem emm - - von Herze - -
541288	14,08782256	50,79454917	15418	SCHNEEBERG (SNￄﾚￅﾽNￃﾍK)	1	- Dos - Wort - kohm’ n - - vun Harzen. - -
542632	13,57030177	50,62249964	15503	ZETTEL (SEDLO)	1	- Dos - Wort - kam ihm - - van Herzen. - -
522795	21,99049945	55,02117866	1552	PAZUIZEN	1	- Dat - Woort - kem em - - von Herzn - -
542678	13,86383504	50,62849859	15538	WISTERSCHAN (BYSTￅﾘANY)	1	- Dos - Wort - kom ihn - - vun Harzen. - -
542690	14,12005467	50,63121237	15550	MALSCHEN (MALEￄﾌOV)	1	- Dos - Wort - kom’ n - - vun Harz’n - -
