Index	Bogennummer	REDE_Namen	Sprache	IM	DES	-	WINTER	FLIEGEN	DIE	TROCKENEN	BLATTER	LAAB	DURCH	IN	LUFT	HERUM	UMEINANDER	RUND	UMBEI	__parsed_extra
ab	12104	Frössen	1	I m	-	-	W i n t e r - -	f l e-i ng - - - - - - - -	d e	t r u c k n e n	B l ä ï t e r	-	d o r c h	-	L u f t	- - - - - r i mm - - - - -	- - - - - - - - - - - -	-	-	-
ab	12125	Schwand	1	I m	-	-	W i n t e r - -	f l ie ng - - - - - - - -	d i	t r u c k n e n	B l e d e r	-	d o r c h	-	L u f t	- - - - - r i mm - - - - -	- - - - - - - - - - - -	-	-	-
ab	12148	Kottengrün	1	I m	-	-	W i n t e r - -	f l ie ng - - - - - - - -	d e	t r u c k n e	B l e t e r	-	d o r c h	-	L u f t	- - - - - r i mm - - - - -	- - - - - - - - - - - -	-	-	-
ab	1215	Paruszka	1	I m	-	-	W i n t e - - -	f l ei g e - - - - - - -	d e i	d r ö g e	B l ä d e	-	d ö g	-	L u f t	- - - - - r ü mm e - - - -	- - - - - - - - - - - -	-	-	-
ab	12153	Meiningen	1	I m	-	-	W e n t e r - -	f l ie g e - - - - - - -	d i	t r o c k e n e	B l e h t e r	-	d ö r c h	-	L u f t	- - - h e r ö mm - - - - -	- - - - - - - - - - - -	-	-	-
ab	12167	Altendambach	1	E n	-	-	W e n t e r - -	f l ie g ä - - - - - - -	d ö r	t r o c k ö n ä	B l ä t ö r	-	d u r c h	-	L u f t	ö m - h ä r - - - - - - -	- - - - - - - - - - - -	-	-	-
ab	12184	Altenfeld	1	I m	-	-	W i n t e r - -	f l ie g e - - - - - - -	d e r	t r u c k n e	B l i e t e r	-	-	i n	L u f t	- - - h e r ü m - r u m -	- - - - - - - - - - - -	-	-	-
ab	12341	Rohrbach	1	I n	-	-	W e n t - r - -	f l ie g - n - - - - - -	d e	t r o k n	B l ä t t r	-	d o r c h	-	L o f t	- - - - - r e m - - - - -	- - - - - - - - - - - -	-	-	-
ab	12371	St. Jacob bei Leutenberg	1	I n	-	-	W i n t e r - -	f l ie g e n - - - - - -	d ' r	t r u c k e n	B l e t t e r	-	-	i n	L u f t	- - - - - r i mm - - - - -	- - - - - - - - - - - -	-	-	-
ab	12390	Neundorf (bei Schleiz)	1	m	-	-	W i n t e r - -	f l ö͡i g e n - - - - - -	d '	t r u c k n e n	B l e t t e r	-	d o r c h	-	L u f t	- - - - - r i m - - - - -	- - - - - - - - - - - -	-	-	-
ab	12410	Ebersgrün	1	N e	-	-	W i n t e r - -	f l ie ng - - - - - - - -	d e r	t r u c k n e	B l ä t t e r	-	-	i n	L u f t	- - - - - r i mm - - - - -	- - - - - - - - - - - -	-	-	-
ab	12428	Roitzschau/Rotschau	1	N e	-	-	W i n t e r - -	f l ie ng - - - - - - - -	d e	t r u c k n e	B l ä t t e r	-	d u r c h	-	L u f t	- - - - - r i m̄ - - - - -	- - - - - - - - - - - -	-	-	-
ab	12496	Horsdorf	1	Ī m	-	-	W i n t é - - -	f l ie g - n̰ - - - - - -	d i e	t r u c k n a	B l é t t é	-	-	i n	L u f t	- - - - - r ü mm - - - - -	- - - - - - - - - - - -	-	-	-
ab	12529	Ködnitz	1	N e	-	-	W i n t e r - -	f l ie g - n - - - - - -	d e r	k r u c k n a	B l e t e r	-	-	i n	L u f t	- - - - - r i m - - - - -	- - - - - - - - - - - -	-	-	-
ab	12556	Kornbach	1	N a	-	-	W i n t è - - -	f l īe ng - - - - - - - -	d e r	t r u c k n a	B l é d è	-	-	i n	L u f t	- - - - - r ĭ m - - - - -	- - - - - - - - - - - -	-	-	-
ab	12572	Habnith	1	N a	-	-	W i n t a - - -	f l öi ng - - - - - - - -	d a	t r u c k n a	B l e t a	-	-	i	L u f t	- - - - - r i m - - - - -	- - - - - - - - - - - -	-	-	-
ab	12594	Uchenhofen	1	I m	-	-	W i n t e r - -	f l ie h - n - - - - - -	d a r	t r u c k n a	B l e t t e r	-	-	i n	L u f t	- - - - - r ü m - - - - -	- - - - - - - - - - - -	-	-	-
ab	12616	Reutersbrunn	1	J n	-	-	W i n t e r - -	f l ia g - n - - - - - -	d e r	t r u c k n e	B l e t t e r	-	-	i n	L u f t	- - - - - r ü m - - - - -	- - - - - - - - - - - -	-	-	-
ab	12656	Weismain	1	E n	-	-	W i n t ä - - -	f l ie g - - t - - - - -	d e	d ö r r	-	L a a b	-	i n	L u f t	- - - - - r ü mm - - - - -	- - - - - - - - - - - -	-	-	-
ab	1278	Insko	1	I m	-	-	W i n t ē - - -	f l ē g a - - - - - - -	d e	d r ö g a	B l ä d ē	-	d ö e ̆ ̆ c h	-	L u f t	- - - - - r ü mm e - - - -	- - - - - - - - - - - -	-	-	-
ab	1287	Konotop	1	I m	-	-	W i n t e - - -	f l e j a - - - - - - -	d e	d r ö j a	B l e i d e	-	d ö c h	-	L u f t	- - - - - r ü mm e - - - -	- - - - - - - - - - - -	-	-	-
ab	12876	Lohma	1	I n	-	-	W e n t e r - -	f l ie g e n - - - - - -	d e	t r e u c h e n	B l e t t e r	-	d o r c h	-	L u f t	- - - - - r i m - - - - -	- - - - - - - - - - - -	-	-	-
ab	12898	Heiersdorf	1	I n	-	-	W i n t e r - -	f l ie g e n - - - - - -	d e	t r e u g e n	B l ä t t e r	-	d u o c h	-	L u f t	- - - - - r i m - - - - -	- - - - - - - - - - - -	-	-	-
ab	12921	Sachsenburg	1	I n n a	-	-	W i n t - r - -	f l ie ng - - - - - - - -	d ' r	t r e u c h e n	B l ä t t ' r	-	-	i n	L u f t	- - - - - r i m - - - - -	- - - - - - - - - - - -	-	-	-
