Grapheme	Frequency	IPA	Codepoint	UnicodeName
uei	3	ei	U+0075, U+0065, U+0069	LATIN SMALL LETTER U, LATIN SMALL LETTER E, LATIN SMALL LETTER I
ueu	2	ue	U+0075, U+0065, U+0075	LATIN SMALL LETTER U, LATIN SMALL LETTER E, LATIN SMALL LETTER U
uh	34	u	U+0075, U+0068	LATIN SMALL LETTER U, LATIN SMALL LETTER H
üh	30	y	U+00FC, U+0068	LATIN SMALL LETTER U WITH DIAERESIS, LATIN SMALL LETTER H
ui	31	ui	U+0075, U+0069	LATIN SMALL LETTER U, LATIN SMALL LETTER I
üi	9	i	U+00FC, U+0069	LATIN SMALL LETTER U WITH DIAERESIS, LATIN SMALL LETTER I
uj	2	ui	U+0075, U+006A	LATIN SMALL LETTER U, LATIN SMALL LETTER J
uo	31	uo	U+0075, U+006F	LATIN SMALL LETTER U, LATIN SMALL LETTER O
üö	3	uo	U+00FC, U+00F6	LATIN SMALL LETTER U WITH DIAERESIS, LATIN SMALL LETTER O WITH DIAERESIS
uoh	1	uo	U+0075, U+006F, U+0068	LATIN SMALL LETTER U, LATIN SMALL LETTER O, LATIN SMALL LETTER H
üöh	2	uo	U+00FC, U+00F6, U+0068	LATIN SMALL LETTER U WITH DIAERESIS, LATIN SMALL LETTER O WITH DIAERESIS, LATIN SMALL LETTER H
uoi	4	oi	U+0075, U+006F, U+0069	LATIN SMALL LETTER U, LATIN SMALL LETTER O, LATIN SMALL LETTER I
ür	1	y	U+00FC, U+0072	LATIN SMALL LETTER U WITH DIAERESIS, LATIN SMALL LETTER R
uu	3	u	U+0075, U+0075	LATIN SMALL LETTER U, LATIN SMALL LETTER U
üu	1	y	U+00FC, U+0075	LATIN SMALL LETTER U WITH DIAERESIS, LATIN SMALL LETTER U
uy	1	u	U+0075, U+0079	LATIN SMALL LETTER U, LATIN SMALL LETTER Y
v	46	v	U+0076	LATIN SMALL LETTER V
vv	3	v	U+0076, U+0076	LATIN SMALL LETTER V, LATIN SMALL LETTER V
w	4247	w	U+0077	LATIN SMALL LETTER W
ww	94	w	U+0077, U+0077	LATIN SMALL LETTER W, LATIN SMALL LETTER W
x	21	x	U+0078	LATIN SMALL LETTER X
xh	1	x	U+0078, U+0068	LATIN SMALL LETTER X, LATIN SMALL LETTER H
xx	1	x	U+0078, U+0078	LATIN SMALL LETTER X, LATIN SMALL LETTER X
y	11	i	U+0079	LATIN SMALL LETTER Y
ÿ	7	y	U+00FF	LATIN SMALL LETTER Y WITH DIAERESIS
yë	1	i	U+0079, U+00EB	LATIN SMALL LETTER Y, LATIN SMALL LETTER E WITH DIAERESIS
