Index	Bogennummer	REDE_Namen	Sprache	WS9Transliteration
bc	14486	Nadziejow	1	Ich bin - bei der Fraue gewast und - ho es - ihr - gesot und - sie - - sote - - sie - - welle - es - - ihrer Tochter - - - son - -
bc	145	Smardzko	1	Ick bün - bi de'e Frug west un - hew t - ä'e - segt u - sei - - sär - - sei - - wu - t ook - äre Dochte - - - segge - -
bc	14505	Piorunkowice	1	Ich bihn - bei dr Frau gewahst un - ho s - er - gesoht un - se - - sohte - - sie - - wull - es och - ihrer Tochter - - - sohn - -
bc	1451	Steinforth (Brodźce)	1	Jjj bün - bie dää Frugä wääst ua - heww t - ähä - säscht ua - sei - - säd - - sei - - wutt - t' - - ährä Doachtä - eok - sejje - -
bc	14537	Bielice	1	Ech ben - bei dar Frau gewast on - ho 's - ihr - gesäht on - sie - - sähte - - sie - - well - es a - ihrer Tochter - - - sähn - -
bc	14560	Siemianowice Slaskie	1	Ich bien - bei der Frou gewast und - ho 's - ihr - gesoat u - sie - - soate - - se - - merd - 's - - ihrer Tuchter - - - soan - -
bc	1461	Wegorzewo Szczecineckie	1	Ick bün - bi dä Frugä wäst un - hef t - ä - sägt un - sai - - säd - - sei - - wull - et ok - ähre Dochtä - - - sägä - -
bc	14613	Nohfelden	1	Eich war - bei der Fra gewescht un - han 's - er - gesat un - sie - - sat - - sie - - woult - et - - ihrem Märe - - - san - -
bc	14635	Erzweiler	1	Eich bin - bei d'r Fra gewescht un - han s - 'er - g'sat un - - - - s'sat - - se - - dät - s - - ehrem Märe - - - san - -
bc	14670	Nussbach	1	Ich war - bei der Frä̀ - unn - hunn 's - er sch gesaht unn - sĕ - - saht - - sĕ - - wéllt - s ä̀c̄h - éhrèr Dochdèr - - - sa̰on - -
bc	14693	Dannenfels	1	Jch sein - bei der Fraa gewes und - hun s - er - gesaat un - sie hot - gesaat - - sie - - det - s āch - ehrer Dochter - - - saae - -
bc	14724	Monsheim	1	Jch war - bei d Fraa gewest und - hun s - ehr - gesaat und - sie - - saat - - sie - - wolle - es aach - ehrer Dochter - - - saae - -
bc	14752	Sankt Matthias	1	Eïch wôr - beï der Fra gewehs onn - hônn - - er et gesôht onn - seï - - sôht - - sô - - wohl - t och - herer Dogter - er - sôhn - -
bc	14955	Bescheid	1	Äich säi - bäi der Fra gewöst un - hunn er - hir - gesoat un - söi - - soat - - säi - - wollt - et och - hirer Dogder - - - soan - -
bc	14971	Allenbach	1	Eich sen - bei der Fra gewest on - hon et - ihr - gesat o - sie - - sat - - sie - - wollt - et och - ihrer Doochter - - - sahn - -
bc	1499	Stara Rzeka	1	Idj bü - bi da Frug weßt u - heb t - äa dat seggt u - see - - säd - - see - - wull - dat uck - eana Dochta - - - segga - -
bc	14999	Berschweiler bei Kirn	1	Ich sinn - bei der Fraa gewest unn - hann s - er - gesaht unn - sie - - saht - - sie - - wollt - et - - ihrer Touchter - - - sahn - -
bc	15018	Bad Sobernheim	1	Eich bin - bei derre Fra gewescht un - hon s - er - gesaht und - se - - saht - - se - - wollt - s ah - ehrer Dochter - - - sahn - -
bc	15042	Neu-Bamberg	1	Jch bin - bei der Fraa gewescht un - hun s - er - gesaht un - sie - - saht - - sie - - wollt - 's - - ehrer Dochter - - - san - -
bc	15066	Bechtolsheim	1	Jch war - bei der Frah gewest unn - hunn s - er - gesaht unn - sie - - seht - - sie - - wollt - s ach - ehrer Tochter - - - sahe - -
bc	15088	Bollendorf	1	Eich sein - bei dĕr Fra gewes't an - hunn et - hīr - gesoat an - sei - - soat - - sei - - welt - et och - hierer Dūchter - - - so͜an - -
