Index	Bogennummer	Ort	Sprache	ich1	bin	gewesen	bei	der	frau	und1	ich2	habe	es1	zu1	ihr	gesagt1	und2	da	sie1	hat1	gesagt2	dass	sie2	hat2	es2	will	sagen	auch	zu2	ihrer	tochter
ab	12529	Ködnitz	1	Ich	bi - - -	gewest -	bo - - - -	der	Fra - - - -	und	-	ho	s	- - - -	ihr - - -	gsogt	und	-	sie - - - -	hot	gsogt	-	sie - - - - -	-	's	will - - - -	sogn	a - -	- - - -	ihrn - - - -	- Mala - - - - -
ab	12556	Kornbach	1	Ich	bi - - -	gwes'n -	bo - - - -	der	Frā - - - -	und	-	hŏb	sch	- - - -	ihr - - -	gsockt	und	-	sie - - - -	hot	gsockt	-	sie - - - - -	-	s	wollt - - - -	so̰ng	a - -	- - - -	ihrer - - - -	Tochter - - - - - -
ab	12572	Habnith	1	Ich	bin - - -	gwesn -	bei - - - -	dea	Frau - - - -	und	-	ho	s	- - - -	ihr - - -	gsagt	und	-	sie - - - -	haut	gsagt	-	sie - - - - -	-	s	will - - - -	song	a - -	- - - -	ihra - - - -	Tochta - - - - - -
ab	12594	Uchenhofen	1	Ich	bin - - -	gawaßt -	bei - - - -	der	Fra - - - -	un	-	ho	ss	- - - -	era - - -	gsocht	un	-	sie - - - -	hat	gsocht	-	sie - - - - -	-	s	wöllt - - - -	sog	ach - -	- - - -	ihra - - - -	Tochter - - - - - -
ab	12616	Reutersbrunn	1	Jch	bin - - -	gwast -	bei - - - -	d'r	Fra - - - -	un	-	ho	ß	- - - -	'ra - - -	gsogt	un	-	sie - - - -	hot	gsogt	-	sie - - - - -	-	st	will - - - -	sogn	a - -	- - - -	ihrar - - - -	Tochter - - - - - -
ab	12656	Weismain	1	Ich	bin - - -	g'weh'n -	bei - - - -	dä	Frah - - - -	und	-	ho	se	- - - -	re - - -	g'sogt	und	-	sie - - - -	-	sogt	-	sie - - - - -	-	s	will - - - -	sogn	a - -	- - - -	ihrä - - - -	Tochtä - - - - - -
ab	1278	Insko	1	Ik	bü̆̆ - - -	wēst -	bī - - - -	däa	Frūga - - - -	ŏ̆	-	hew	't	- - - -	ĕ - - -	segt	ŏ	-	se - - - -	-	säd	-	se - - - - -	-	't	wudd - - - -	segga	uk - -	- - - -	äre - - - -	Dochte - - - - - -
ab	1287	Konotop	1	Ick	bü - - -	weist -	bi - - - -	dä	Frug - - - -	o	-	heb	't	- - - -	ä - - -	secht	o	-	se - - - -	-	seid	-	so - - - - -	-	tt	wu - - - -	segga	uck - -	- - - -	äre - - - -	Dochte - - - - - -
ab	12876	Lohma	1	Ich	bin - - -	gewast -	bei - - - -	d'r	Frox - - - -	un	-	hob	's	- - - -	er - - -	geseht	un	-	se - - - -	-	sehte	-	se - - - - -	-	's	wohl - - - -	soge	o - -	- - - -	ehrer - - - -	Tuchter - - - - - -
ab	12898	Heiersdorf	1	Ich	bin - - -	gwasen -	bei - - - -	dor	Fro - - - -	un	-	hab	's	- - - -	r - - -	gsaot	-	-	se - - - -	-	sot	-	se - - - - -	-	s	wöll - - - -	saon	ao - -	- - - -	ihrer - - - -	Tochter - - - - - -
ab	12921	Sachsenburg	1	Ich	bin - - -	g'was'n -	bei - - - -	da	Froa - - - -	onn	-	ho	's	- - - -	ra - - -	g'soat	onn	-	sa - - - -	-	soat	-	sa - - - - -	-	's	wellt - - - -	soa'n	oah - -	- - - -	ihrâ - - - -	Tochtâ - - - - - -
ab	12942	Rothenfurth	1	Ich	bin - - -	g'was'n -	bei - - - -	der	Fra - - - -	un	-	hao	's	- - - -	'r - - -	g'saod	un	-	se - - - -	-	saode	-	se - - - - -	-	s	wóld - - - -	saon	o - -	- - - -	ihrer - - - -	Dóchder - - - - - -
