Ort::REDE_GIDs	Ort::Longitude	Ort::Latitude	Bogennummer	Ort::Name	Ort::Sprache	müde	wir	sind	und	uns	haben	einen	Durst
376330	16,63215	53,09276	1035	STOBNO	1	möd	Wi	sin	u	-	hebe	-	dost.
370259	17,19502	53,11046	1050	KROSTKOWO	1	meid	Wi	sün	u	-	hebe	-	döß.
534921	17,45996751	53,22049833	1133	DEBENKE	1	meud	Wie	sün	u	-	hebä	-	döstä.
148600	17,73634	53,22735	1139	GLISZCZ	1	moid	Wi	synd	u	-	häbbe	-	döst.
375151	18,26662	53,22211	1150	CZARZE	1	med	Wi	sind	on	-	hebe	-	Dest.
373923	18,56976	53,2111	1157	BIELCZYNY	1	müad	Mir	sinn	und	-	henn	-	durscht.
160911	18,85888	53,17872	1162	SIERAKOWO	1	meid	Wi	söed	o	-	hebbe	-	deäst.
147552	15,50003	53,29161	1178	SOKOLINIEC	1	mög	Wi	sinn	u	-	hebba	-	Döst.
370665	15,85412	53,25859	1192	DEBSKO	1	möd	Wie	sind	u	-	hebbe	-	döst.
163085	16,12236	53,27292	1197	PLOCICZNO	1	möd	Wi	sin	o	-	häbba	-	döß.
148733	16,30259	53,26242	1203	NAKIELNO	1	möd	Wi	sina	un	-	häbba	-	dosst.
541572	16,62174662	53,26616634	1208	WISSULKE (WIESIￃﾓￅﾁKA)	1	möd	Wi	sinn	u	-	hebbä	-	dost.
371585	16,90232	53,26649	1215	PARUSZKA	1	meud	Wi	sünn	uh	-	häbbe	-	döst.
375822	15,56066	53,43452	1278	INSKO	1	möd	Wi	sin	o	-	hewwa	-	Döest.
374696	15,82821	53,44244	1287	KONOTOP	1	möd	Wi	sinn	o	-	hebba	-	Döst.
153188	16,0857	53,43147	1296	ZABIN	1	möad	Wie	sind	u	-	hebba	-	döast.
374882	16,93735	53,43084	1315	KAMIEN	1	möd	Wi	sünn	u	-	habbn	-	döuste.
534933	17,75795578	53,42095415	1338	DZIDNO	1	moid	Wie	sen	uh	-	häbbe	-	döst.
158526	15,53822	53,61301	1403	DOBIESZEWO	1	mör	Wi	sinn	ua	-	hewwa	-	döst.
375806	15,82664	53,61641	1417	RYDZEWO	1	mör	Wi	sünn	u	-	hewwe	-	döst.
151328	16,09713	53,5926	1432	RZEPOWO	1	möd	Wie	sin	un	-	hewa	-	döst.
372645	16,3881	53,58605	1442	LUBOWO	1	mäud	Wi	sünd	u	-	hewwe	-	döß.
541580	16,64922303	53,57923598	1451	STEINFORTH (BRODￅﾹCE)	1	möd	Wi	sunn	ua	-	hewwä	-	dösst.
146871	16,90083	53,59936	1461	WEGORZEWO SZCZECINECKIE	1	mäud	Wie	sünd	un	-	häwä	-	durst.
152200	18,31669	53,6553	1499	STARA RZEKA	1	meed	Wie	sein	u	-	hebbe	-	doast.
541593	21,39751921	55,00008085	1536	HEIDLAUKEN (BUGORKI)	1	möd	Wi	sönn	on	-	hebbe	-	darscht.
534942	21,69458052	55,04244719	1540	HEINRICHSWALDE	1	meed	Wie	send	un	-	hebbe	-	derscht.
522795	21,99049945	55,02117866	1552	PAZUIZEN	1	möd	Wi	send	un	-	hebbe	-	dürscht.
522784	22,25700873	55,00557634	1565	GIERVER LAUKEN	1	meed	Wie	senn	un	-	hebbe	-	derscht.
522772	22,59096608	55,07130157	1571	SCHMALLENINGKEN	1	med	Wi	sonn	un	-	hebbe	-	därscht.
541600	19,96594881	54,93887292	1573	GROￃﾟ DIRSCHKEIM (DONSKOYE)	1	med	Wi	sent	on	-	hebbe	-	derscht.
540919	20,25705523	54,95056245	1578	RANTAU (ZAOSTROV'YE)	1	med	Wi	sen	onn	-	hebbe	-	derrscht.
541603	20,51939251	54,91991342	1580	SCHULSTEIN (VOL'NOE)	1	meed	Wi	send	on	-	hebbe	-	derscht.
541608	21,36986045	54,92959481	1588	ALT SUSIMILKEN (TARASSOWKA)	1	möd	Wie	sind	on	-	hebbe	-	därscht.
541640	22,56764471	54,97028491	1626	TULPENINGKEN (ZAREￄﾌNOE)	1	med	Wie	sönnd	und	-	hebbe	-	derscht.
541641	22,74958463	54,93330301	1628	WISBORIENEN (LIVNY)	1	med	Wie	sön	on	-	hebbe	-	derscht.
541763	20,82988029	54,91975148	1654	POSTNICKEN (ZALIVNOE)	1	med	Wie	send	onn	-	hebbe	-	derscht.
540911	21,06375338	54,89622754	1664	LABAGIENEN/HAFFWINKEL (ZALIVINO)	1	med	Wie	send	on	-	hebbe	-	derscht.
541395	21,65075358	54,87658737	1683	KREUZINGEN (BOL'SHAKOVO)	1	med	Wie	sönd	on	-	hebbe	-	Derscht.
541701	21,94586611	54,83695164	1698	BUTTKUHNEN (POKROVSKOE)	1	med	Wie	send	un	-	hebbe	-	dorscht.
541709	22,22011308	54,8699569	1708	BALTRUSCHATSCHEN (JAKOVLEVO)	1	möd	Wie	sänd	on	-	hebbe	-	derscht.
541735	19,98061971	54,80011714	1733	ROTTENEN (RAKTINO)	1	meed	Wie	send	onn	-	hebbe	-	därscht.
541741	20,16992129	54,80001676	1741	POJERSTIETEN (KOLODCY)	1	med	Wie	send	on	-	hewe	-	derscht.
