Longitude	Latitude	REDE_GIDs	Name	Bogennummer	REDE_Namen	Sprache
17.29069553	50.02964652	534416	KARLSDORF	16907	Karlsdorf	1
17.51227875	50.22030266	544860	KUHBERG	16932	Kuhberg	1
17.73660283	50.20995029	544873	RAUSEN (RUSￃﾍN)	16949	Rausen (Rusín)	1
21.94586611	54.83695164	541701	BUTTKUHNEN (POKROVSKOE)	1698	Buttkuhnen (Pokrovskoe)	1
17.47950091	50.0638888	547161	BREITENAU (BRETNOVￃﾁ ￅﾠIROKￃﾁ NIVA)	16991	Breitenau (Bretnová Široká Niva)	1
17.74608647	50.0470232	544917	LOBENSTEIN (ￃﾚVALNO)	17012	Lobenstein (Úvalno)	1
12.52743214	49.93203052	544930	LOHHￃﾄUSER (SLATINA)	17029	Lohhäuser (Slatina)	1
12.83308709	49.93372209	544959	DEUTSCH THOMASCHLAG (NￄﾚMECKￃﾉ DOMASL	17061	Deutsch Thomaschlag (Německé Domasl	1
13.05746787	49.93785404	544964	POLINKEN (POLￃﾍNKA)	17075	Polinken (Polínka)	1
22.22011308	54.8699569	541709	BALTRUSCHATSCHEN (JAKOVLEVO)	1708	Baltruschatschen (Jakovlevo)	1
12.56427266	49.7720973	540726	ALBERSDORF (PￃﾍSAￅﾘOVA VESCE)	17138	Albersdorf (Písařova Vesce)	1
12.78758496	49.78516666	534185	DAMNAU	17151	Damnau	1
13.12137244	49.77832844	545061	PIWANA (PIￅﾇOVANY)	17174	Piwana (Piňovany)	1
13.31836954	49.7932149	545065	KOTTIKEN (CHOTￃﾍKOV)	17178	Kottiken (Chotíkov)	1
12.59263476	49.63101848	545130	DIANABERG (DIANA)	17244	Dianaberg (Diana)	1
12.83611997	49.61401094	545150	WIEDLITZ (VIDICE)	17266	Wiedlitz (Vidice)	1
13.06318469	49.63824558	545157	HONOSITZ (HONEZOVICE)	17273	Honositz (Honezovice)	1
13.29099949	49.65550872	545165	DOBRZAN (DOBￅﾘANY)	17281	Dobrzan (Dobřany)	1
12.99003795	49.5009234	545187	BLISOWA (BLￃﾍￅﾽEJOV)	17306	Blisowa (Blížejov)	1
16.39993838	49.94474447	534524	HILBETEN	17309	Hilbeten	1
16.70920166	49.91307027	545200	SCHￃﾖNWALD (STRￃﾁￅﾽNￃﾁ)	17325	Schönwald (Strážná)	1
19.98061971	54.80011714	541735	ROTTENEN (RAKTINO)	1733	Rottenen (Raktino)	1
17.02418646	49.91272165	545239	OBER-ULLISCHEN (HORNￃﾍ OLEￅﾠNￃﾁ)	17374	Ober-Ullischen (Horní Olešná)	1
17.21258288	49.90928348	545250	BERGSTADT (HORNￃﾍ MￄﾚSTO)	17389	Bergstadt (Horní Město)	1
20.16992129	54.80001676	541741	POJERSTIETEN (KOLODCY)	1741	Pojerstieten (Kolodcy)	1
16.69330997	49.75727865	545300	RANIGSDORF (LINHARTICE)	17433	Ranigsdorf (Linhartice)	1
16.92061223	49.77656682	545309	MￃﾜGLITZ (MOHELNICE)	17442	Müglitz (Mohelnice)	1
17.19747408	49.76489875	545324	RIBNIK (RYBNIￄﾌEK)	17460	Ribnik (Rybniček)	1
16.41268819	49.73996807	545331	STANGENDORF (VENDOLￃﾍ)	17468	Stangendorf (Vendolí)	1
20.50003508	54.76991096	541746	BEYDRITTEN (PERVOMAJSKIJ)	1747	Beydritten (Pervomajskij)	1
16.46388	49.64357938	545361	NEU-BIELA (LAVIￄﾌNￃﾉ)	17504	Neu-Biela (Lavičné)	1
16.60789251	49.63015779	545378	SCHLETTAU (SLATINA)	17512	Schlettau (Slatina)	1
16.87865364	49.57204105	534688	RUNARZ (RUNￃﾁￅﾘOV)	17520	Runarz	1
17.177449	49.571549	540668	NEBOTEIN (HNￄﾔVOTￃﾍN)	17521	Nebotein (Hnĕvotín)	1
17.42874992	49.89452106	545414	TILLENDORF (TYLOV)	17568	Tillendorf (Tylov)	1
20.77992635	54.78017981	541755	BRASDORF (ANTONOVKA)	1758	Brasdorf (Antonovka)	1
17.70804928	49.89871152	545434	MLADETZKO (MLADECKO)	17585	Mladetzko (Mladecko)	1
17.46310188	49.73079462	545479	SEIBERSDORF (BￄﾚLￃﾁ)	17643	Seibersdorf (Bělá)	1
17.6829573	49.73318935	545492	BERNHAU (BARNOV)	17659	Bernhau (Barnov)	1
17.97308317	49.70909491	534435	KLANTENDORF	17680	Klantendorf	1
18.132408	49.68902075	545516	ENGELSWALD (MOￅﾠNOV)	17687	Engelswald (Mošnov)	1
17.39883118	49.60097829	545524	NIRKLOWITZ (MRSKLESY)	17698	Nirklowitz (Mrsklesy)	1
17.68215393	49.60602071	545541	PUNKENDORF (BOￅﾇKOV)	17713	Punkendorf (Boňkov)	1
21.08440964	54.75089788	541782	GROￃﾟ GOLDBACH (SLAVINSK)	1772	Groß Goldbach (Slavinsk)	1
17.89790677	49.58061423	545552	HALBENDORF (POLOUVSￃﾍ)	17726	Halbendorf (Polouvsí)	1
18.10923581	49.56425845	540974	SENFTLEBEN (ￅﾽENKLAVA)	17737	Senftleben (Ženklava)	1
19.326	49.98619	387377	POLANKA WIELKA	-17739	Polanka Wielka	1
19.28507	49.87652	390916	BULOWICE	-17744	Bulowice	1
19.45265	49.87403	389479	CHOCZNIA	-17746	Chocznia	1
18.99999994	49.82000004	540730	ALT-BIELITZ (STARE BIELESKO)	-17749	Alt-Bielitz (Stare Bielesko)	1
12.80409953	49.46044599	545576	LINZ (MLￃﾝNEC)	17759	Linz (Mlýnec)	1
13.091469	49.28078338	545598	KOHLHEIM (UHLIￅﾠTￄﾚ)	17782	Kohlheim (Uhliště)	1
13.30276094	49.26612249	545607	ￄﾌACHRAU (ￄﾌACHROV)	17792	Čachrau (Čachrov)	1
13.33062137	49.12628901	545628	HURKENTAL (HￅﾮRKA)	17801	Hurkental (Hůrka)	1
13.57753261	49.12042561	545650	ROTSAIFEN (ￄﾌERVENￃﾁ)	17824	Rotsaifen (Červená)	1
13.78390364	49.05868188	540811	WINTERBERG (VIMBERK)	17832	Winterberg (Vimberk)	1
15.64233287	49.62987755	540957	SEHRLENZ (ￅﾽDￃﾍREC)	17843	Sehrlenz (Ždírec)	1
15.46916346	49.43296588	540901	IRSCHING (JIￅﾘￃﾍN)	17854	Irsching (Jiřín)	1
15.63065627	49.43386003	540967	HILBERSDORF (JIHLAVA-HEROLTICE)	17862	Hilbersdorf (Jihlava-Heroltice)	1
15.48846857	49.33208877	545689	SOLLOWITZ (SALAVICE)	17876	Sollowitz (Salavice)	1
