Index	Bogennummer	REDE_Namen	Sprache	WS28::Transliteration WS 28
cd	1664	Labagienen/Haffwinkel (Zalivino)	1	Ju derwe nich solke Kindarie'e driewe.
cd	16670	Priesen (Březno)	1	Īhr děrft nich sete Kinnerei treibñ.
cd	16689	Libeschitz (Liběšice)	1	Jhr dĕrfts nĕtt sĕtte Kinnarei treim.
cd	16725	Leschkau (Ležky)	1	Ia därfz ned sedda Kinnaraien dreim.
cd	16739	Pschoblik (Pšovlky)	1	Ihr derft's net setta Kinnereie(r)n mochn.
cd	16751	Prag-Smichow (Smíchov)	1	Ihr dürft nicht solche Kinderein treibn.
cd	16755	Weißbach (Bílý Potok)	1	Ihr därft nie seche Kendereia treiba.
cd	16770	Schediwy (Šediviny)	1	Eer tert ne a su kendscha.
cd	16775	Friedrichswald (Orlické Záhoří)	1	Ihr tärt ne a sü kendscha (Unwärde-Saxn-treim)
cd	16801	Böhmischdorf	1	Ihr därft nie sette Kendrrein treibn. (kendische sein).
cd	16814	Rokitnitz (Rokytnice)	1	Ihr tärt nee sella Kendereia treiba.
cd	1683	Kreuzingen (Bol'Shakovo)	1	Iu doerwe nich solke Kinderiee driewe.
cd	16876	Nieder-Ullersdorf (Dolní Boříkovice	1	Ihr derft ne solch kindisch Zoig treiba
cd	16889	Heinzendorf (Hynčice Nad Moravou)	1	Ihr dirft nie setta Kenderein treim.
cd	16907	Karlsdorf	1	êr tirt (jezt müst dirft) nī sẹ(t)n̥ ûənʃin traêm.
cd	16932	Kuhberg	1	Ihr dirft nie seche Kenderei treiba.
cd	16949	Rausen (Rusín)	1	Ihr dürft nech solche (sette) Kendereia treiba.
cd	1698	Buttkuhnen (Pokrovskoe)	1	Ju derfe nich solke Kinderei driewe.
cd	16991	Breitenau (Bretnová Široká Niva)	1	Ihr dirft nie seche (sette) Kenderein treibn.
cd	17012	Lobenstein (Úvalno)	1	Ihr derft nie seche Kenderein treibn.
cd	17029	Lohhäuser (Slatina)	1	Diag deafts neat set Kinarein treib(n)
cd	17061	Deutsch Thomaschlag (Německé Domasl	1	Dirt's därfts niat sua kinnisch Zeich trei(b)m.
cd	17075	Polinken (Polínka)	1	Ihr därfts niat secha Kinderreien trei(b)m.
cd	1708	Baltruschatschen (Jakovlevo)	1	Ju darfe nich sonne Kinderie driewe.
cd	17138	Albersdorf (Písařova Vesce)	1	Dia(r)ts dearfts koi'n sulch Cinarei trei(b)n.
cd	17151	Damnau	1	Diats därfts niat sech Kindarei trei(b)m.
cd	17174	Piwana (Piňovany)	1	Derfts koi setta Kinastückla treibm (våtreibm).
cd	17178	Kottiken (Chotíkov)	1	Di͜ats de͜afz neat setta Kinderei treibn.
cd	17244	Dianaberg (Diana)	1	Diəz derft's koĩ suə Kinnərei trei'm.
cd	17266	Wiedlitz (Vidice)	1	Diads deafts niat sölcha kinnösche Sochn treim.
cd	17273	Honositz (Honezovice)	1	Diats derfz kui seta Kinareien treim.
cd	17281	Dobrzan (Dobřany)	1	Diaz döarfts niat sua kinnsich sa.
cd	17306	Blisowa (Blížejov)	1	Diats därfts niat selche Kinnereien treiben.
cd	17309	Hilbeten	1	Ia diat net setta Dummheitn mochn.
cd	17325	Schönwald (Strážná)	1	Ihr derft ne selln Kindereia treiba.
cd	1733	Rottenen (Raktino)	1	Jiug darwe nich sulkt Kinderie driewe.
cd	17374	Ober-Ullischen (Horní Olešná)	1	Ihr dirft nie setta Tolkerein mochn.
cd	17389	Bergstadt (Horní Město)	1	Moacht ka setta Kiflerein nie!
cd	1741	Pojerstieten (Kolodcy)	1	Ju dürfe nich solke Kinderien drüwe.
cd	17433	Ranigsdorf (Linhartice)	1	Ihr dirft net setta Kinderein tram.
cd	17442	Müglitz (Mohelnice)	1	Ihr därft net seche Tummheit'n moch'n.
cd	17460	Ribnik (Rybniček)	1	Ihr terft nie secha Kindereien treiben.
cd	17468	Stangendorf (Vendolí)	1	Ihr dürft net su kindesch sei!
