Index	Bogennummer	REDE_Namen	Sprache	WS10::Transliteration WS10
qr	49579	Ollsen	1	Eck well dat ok necht wüder daun.
qr	49587	Westergellersen	1	Jk wilt ok nich weder daun.
qr	49605	Barskamp	1	Jick will et ock nich wärde doun.
qr	4965	Stare Kramsko	1	Ich will es o nicht mehr wieder thun.
qr	4968	Zodyn	1	Ich will's o nie mie wieder thun!
qr	49727	Wendhausen	1	Jck willt ock nich mehr werrer dohn.
qr	49752	Jessenitz	1	Jck will dat ock nich miehr werrer daun.
qr	49767	Glaisin	1	Ick will't ook goa nich werre dauhn!
qr	49778	Neese	1	Jk will dat ok nich mehe werre dauhn.
qr	49794	Pampin	1	Jk will't ok nich mihr werre dauhn.
qr	4980	Tarnowa	1	Ich wills o ni mi wieder thun.
qr	49802	Grabow	1	Ick will't ook nich mehr wärrer dohn.
qr	49813	Wangersen	1	Eck will dad ok nich weller dohn!
qr	49821	Regesbostel	1	Jck will't ook nich mehr wedder daoun.
qr	49828	Tötensen	1	Ik will't ak nich mehr werr daun.
